time;ExecutionTime;posZ-marker;posZ-laser;Ultrasound;Tof;RotX;RotY;RotZ
235.4993352;0.04658990000001495;0.2799444022281699;-3.2328518867492675;30.87;34.1;-7.389252846409154;172.43693128840684;-30.69072099152042
235.6185883;0.04604129999998463;0.2776052298629187;-17.241876729329427;30.87;33.7;-7.375482152311909;173.5154381221883;-29.79774184946134
235.7596244;0.051398700000021336;0.27724247280369646;3.042684128705193;30.87;33.4;-7.737042048366737;173.096134929021;-29.781786564260077
235.9167753;0.06377849999998375;0.27533932765495966;4.702330017089843;30.87;33.1;-7.9006842506319535;173.53207908732128;-30.012794183654083
236.0545244;0.04900660000001267;0.2691935101160183;1.8473439352852956;30.87;32.9;-7.203269580914892;172.805086357373;-30.812207088961785
236.2165545;0.050222800000000234;0.2691935101160183;1.5213420643525966;30.87;32.9;-7.203269580914892;172.805086357373;-30.812207088961785
236.3425408;0.04312269999999785;0.2691935101160183;1.8473439352852956;30.87;32.9;-7.203269580914892;172.805086357373;-30.812207088961785
236.4783831;0.053172999999986814;0.2691935101160183;1.4368230607774521;30.87;33.3;-7.203269580914892;172.805086357373;-30.812207088961785
236.6009329;0.04426499999999578;0.2771151085649536;-1.8473439352852956;124.69;31.6;-7.342076087496577;168.9671527664564;-30.894261390369675
236.7269423;0.04583690000001184;0.2693240923898068;-12.93140754699707;123.28;31.1;-6.758707514562388;171.78711262405878;-34.05091739391267
236.8603252;0.04811559999998849;0.2656670605326608;-1.7241876729329426;123.28;31.1;-7.109680356948102;170.86725048560862;-34.58343864429118
237.0033245;0.053079199999984894;0.2638741780877042;-4.702330017089843;122.62;31.0;-5.080540038971052;170.01302801837824;-34.5710109445851
237.1490779;0.051209999999997535;0.26508126391854236;51.72563018798828;122.62;31.4;-5.84521038153034;170.1836750203571;-33.988495867279454
237.2840361;0.05813810000000785;0.26508126391854236;1.7241876729329426;120.7;31.7;-5.84521038153034;170.1836750203571;-33.988495867279454
237.4219491;0.04858400000000529;0.2691422047801835;1.783642420275458;120.7;31.3;-2.308066648400196;171.00056650917065;-36.33243784817596
