Fx...Data G Units:rad/s - A Units:m/s^2 - m Units:gausss...time;Fx-Gx;Fx-Gy;Fx-Gz;Fx-Ax;Fx-Ay;Fx-Az;Fx-Mx;Fx-My;Fx-Mz
7894.095496142,6.148437500;0.601562500;-0.109375000;0.038308000;-0.072224000;1.032852000;-58.400000000;-132.900000000;-331.400000000
7894.101239682,6.148437500;0.601562500;-0.109375000;0.038308000;-0.072224000;1.032852000;-59.100000000;-134.100000000;-329.900000000
7894.106270195,5.585937500;0.164062500;0.101562500;0.034892000;-0.061976000;1.056520000;-59.100000000;-134.100000000;-329.900000000
7894.111471966,5.585937500;0.164062500;0.101562500;0.034892000;-0.061976000;1.056520000;-59.600000000;-133.500000000;-328.800000000
7894.116563145,2.687500000;-0.500000000;0.273437500;0.032940000;-0.056852000;1.064816000;-59.600000000;-133.500000000;-328.800000000
7894.123995473,2.687500000;-0.500000000;0.273437500;0.032940000;-0.056852000;1.064816000;-58.900000000;-135.000000000;-329.400000000
7894.131076473,0.320312500;-0.523437500;0.265625000;0.033184000;-0.062708000;1.053348000;-58.900000000;-135.000000000;-329.400000000
7894.136074042,1.773437500;-0.507812500;0.210937500;0.035868000;-0.074664000;1.024068000;-58.900000000;-134.700000000;-330.100000000
7894.14504042,5.812500000;-0.218750000;0.195312500;0.033916000;-0.069296000;1.035536000;-59.200000000;-133.900000000;-330.300000000
7894.149935343,5.812500000;-0.218750000;0.195312500;0.033916000;-0.069296000;1.035536000;-59.200000000;-133.900000000;-330.300000000
7894.158988886,4.640625000;-0.585937500;0.210937500;0.030744000;-0.048800000;1.072380000;-58.900000000;-134.100000000;-329.900000000
7894.164347691,4.640625000;-1.289062500;0.023437500;0.033916000;-0.047336000;1.074820000;-58.400000000;-135.600000000;-330.200000000
7894.169495444,-1.945312500;-1.289062500;0.023437500;0.033916000;-0.047336000;1.074820000;-58.400000000;-135.600000000;-330.200000000
7894.177673815,-4.453125000;-1.195312500;0.109375000;0.034892000;-0.073688000;1.025288000;-58.800000000;-135.100000000;-331.500000000
7894.185870261,0.578125000;-0.742187500;0.195312500;0.034892000;-0.073688000;1.025288000;-59.000000000;-135.800000000;-330.600000000
7894.200067538,3.210937500;-0.460937500;0.210937500;0.036356000;-0.077836000;1.014064000;-59.000000000;-135.800000000;-330.600000000
7894.205731023,-0.289062500;-0.734375000;0.039062500;0.031232000;-0.050996000;1.069208000;-58.600000000;-135.300000000;-330.500000000
7894.214721771,-3.039062500;-1.015625000;0.210937500;0.031232000;-0.050996000;1.069208000;-58.200000000;-134.500000000;-329.700000000
7894.223565317,-3.039062500;-1.015625000;0.210937500;0.032940000;-0.062952000;1.051152000;-59.400000000;-135.100000000;-330.000000000
7894.23215396,-2.000000000;-0.726562500;-0.023437500;0.034892000;-0.071492000;1.029680000;-59.400000000;-135.100000000;-330.000000000
7894.241056469,0.171875000;-0.476562500;0.328125000;0.035136000;-0.066124000;1.042368000;-59.400000000;-133.600000000;-329.900000000
7894.249927626,0.171875000;-0.523437500;0.195312500;0.033916000;-0.057096000;1.054812000;-58.900000000;-134.900000000;-329.500000000
7894.257776855,-2.125000000;-0.851562500;0.187500000;0.033184000;-0.062952000;1.048224000;-58.800000000;-134.600000000;-329.100000000
7894.265560973,-0.914062500;-0.906250000;0.203125000;0.033184000;-0.062952000;1.048224000;-58.800000000;-134.800000000;-330.500000000
7894.273302963,-0.914062500;-0.906250000;0.203125000;0.035136000;-0.068564000;1.034560000;-58.800000000;-134.800000000;-330.500000000
7894.281461446,0.601562500;-0.585937500;0.195312500;0.035380000;-0.067588000;1.043344000;-58.900000000;-135.200000000;-329.600000000
7894.289510986,0.507812500;-0.781250000;-0.007812500;0.034160000;-0.065880000;1.044808000;-58.400000000;-135.900000000;-329.100000000
7894.297452769,2.359375000;-0.257812500;0.031250000;0.035624000;-0.076860000;1.021140000;-60.100000000;-134.800000000;-329.400000000
7894.305603715,6.984375000;-0.250000000;-0.023437500;0.035624000;-0.076860000;1.021140000;-58.000000000;-134.400000000;-328.300000000
7894.313970417,6.984375000;-0.382812500;0.257812500;0.034892000;-0.062464000;1.044076000;-58.000000000;-134.400000000;-328.300000000
7894.322034661,4.882812500;-0.382812500;0.257812500;0.031720000;-0.045384000;1.070672000;-59.600000000;-135.500000000;-329.100000000
7894.330285383,-0.164062500;-0.804687500;0.218750000;0.034160000;-0.059780000;1.051640000;-59.100000000;-135.500000000;-331.100000000
7894.338283147,-0.531250000;-1.085937500;0.015625000;0.033184000;-0.063928000;1.041148000;-58.700000000;-135.800000000;-330.900000000
7894.3457469,-0.054687500;-0.875000000;0.093750000;0.033184000;-0.063928000;1.041148000;-59.800000000;-135.700000000;-329.700000000
7894.353185431,-0.054687500;-0.875000000;0.148437500;0.032940000;-0.054168000;1.053592000;-59.800000000;-135.700000000;-329.700000000
7894.36059337,-2.093750000;-0.812500000;0.148437500;0.033428000;-0.057828000;1.050664000;-58.200000000;-135.400000000;-329.700000000
7894.367997736,-2.250000000;-0.875000000;0.132812500;0.034160000;-0.068564000;1.032852000;-59.000000000;-136.100000000;-328.800000000
7894.375397897,-0.453125000;-0.812500000;0.203125000;0.034160000;-0.068564000;1.032852000;-58.000000000;-135.700000000;-330.700000000
7894.382804189,-0.453125000;-0.812500000;0.203125000;0.033916000;-0.068808000;1.032120000;-58.000000000;-135.700000000;-330.700000000
7894.390698398,1.898437500;-0.523437500;0.062500000;0.034892000;-0.065148000;1.038952000;-58.400000000;-135.900000000;-329.700000000
