MPUData GUnits:°/s - AUnits:g
LSM9DS1Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
Fx...Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
time;MPU-Gx;MPU-Gy;MPU-Gz;MPU-Ax;MPU-Ay;MPU-Az;LSM-Gx;LSM-Gy;LSM-Gz;LSM-Ax;LSM-Ay;LSM-Az;LSM-Mx;LSM-My;LSM-Mz;Fx-Gx;Fx-Gy;Fx-Gz;Fx-Ax;Fx-Ay;Fx-Az;Fx-Mx;Fx-My;Fx-Mz
1270.214163357;-1.817;0.534;0.168;0.221;-0.190;0.974;-0.078;-0.127;-0.007;-0.409;-0.279;13.638;-0.201;-0.716;-1.757;-0.003;-0.012;0.004;0.309;0.158;10.248;-85.900;-146.000;-318.000
1270.227166695;-1.840;0.565;0.145;0.220;-0.194;0.977;-0.080;-0.130;-0.009;-0.395;-0.251;13.595;-0.201;-0.716;-1.757;-0.009;-0.013;0.004;0.328;0.158;10.244;-85.800;-146.200;-317.800
1270.239939379;-1.878;0.557;0.168;0.225;-0.194;0.975;-0.077;-0.120;-0.009;-0.435;-0.256;13.624;-0.193;-0.716;-1.746;-0.002;-0.012;0.003;0.306;0.182;10.265;-85.700;-145.900;-315.900
1270.252755097;-1.824;0.534;0.153;0.226;-0.197;0.979;-0.082;-0.128;-0.008;-0.427;-0.224;13.413;-0.193;-0.716;-1.746;-0.004;-0.015;0.007;0.318;0.165;10.225;-85.000;-145.700;-318.200
1270.26600744;-1.802;0.527;0.168;0.224;-0.189;0.974;-0.078;-0.125;-0.008;-0.409;-0.258;13.450;-0.198;-0.723;-1.751;-0.008;-0.011;0.003;0.316;0.170;10.220;-86.200;-146.200;-318.000
1270.279889248;-1.832;0.573;0.160;0.225;-0.192;0.975;-0.089;-0.132;-0.010;-0.424;-0.212;13.360;-0.198;-0.723;-1.751;0.001;-0.014;0.004;0.316;0.182;10.234;-85.300;-147.000;-316.700
1270.293634989;-1.870;0.534;0.168;0.228;-0.194;0.974;-0.079;-0.128;-0.009;-0.434;-0.220;13.336;-0.197;-0.712;-1.750;0.002;-0.011;0.001;0.342;0.177;10.256;-85.000;-146.300;-318.600
1270.307635253;-1.855;0.550;0.145;0.228;-0.191;0.980;-0.090;-0.136;-0.005;-0.403;-0.284;13.504;-0.202;-0.716;-1.738;-0.010;-0.013;0.004;0.330;0.165;10.253;-85.300;-146.000;-315.800
1270.321836618;-1.824;0.527;0.206;0.229;-0.193;0.973;-0.083;-0.127;-0.008;-0.424;-0.288;13.564;-0.202;-0.716;-1.738;-0.001;-0.013;0.005;0.328;0.163;10.236;-86.100;-145.700;-317.600
1270.336111015;-1.832;0.542;0.176;0.223;-0.188;0.972;-0.080;-0.127;-0.005;-0.412;-0.331;13.518;-0.196;-0.711;-1.746;-0.006;-0.011;0.001;0.316;0.177;10.232;-85.300;-145.100;-318.300
1270.350422151;-1.832;0.550;0.168;0.224;-0.192;0.975;-0.083;-0.126;-0.008;-0.426;-0.306;13.466;-0.196;-0.711;-1.746;-0.009;-0.012;0.000;0.311;0.175;10.248;-85.400;-145.800;-318.000
1270.365632756;-1.817;0.557;0.183;0.221;-0.194;0.971;-0.073;-0.122;-0.006;-0.421;-0.316;13.365;-0.197;-0.719;-1.748;-0.002;-0.015;0.001;0.323;0.184;10.256;-85.100;-146.600;-315.400
1270.381080278;-1.840;0.557;0.160;0.227;-0.196;0.978;-0.084;-0.127;-0.010;-0.395;-0.277;13.227;-0.197;-0.719;-1.748;-0.006;-0.013;0.005;0.328;0.177;10.229;-84.300;-145.800;-316.500
1270.396756033;-1.832;0.534;0.160;0.223;-0.194;0.972;-0.078;-0.130;-0.012;-0.403;-0.299;13.242;-0.198;-0.712;-1.742;-0.002;-0.017;0.009;0.321;0.182;10.246;-84.300;-145.600;-317.000
1270.411963905;-1.832;0.527;0.191;0.224;-0.195;0.977;-0.082;-0.127;-0.007;-0.376;-0.284;13.025;-0.195;-0.720;-1.749;-0.004;-0.017;0.001;0.318;0.170;10.260;-84.500;-145.800;-317.000
1270.426155402;-1.824;0.557;0.160;0.221;-0.193;0.978;-0.080;-0.127;-0.007;-0.399;-0.253;13.066;-0.195;-0.720;-1.749;-0.007;-0.014;0.004;0.318;0.148;10.234;-86.100;-146.900;-318.000
1270.439994918;-1.840;0.542;0.145;0.227;-0.196;0.978;-0.078;-0.125;-0.007;-0.397;-0.288;13.192;-0.197;-0.718;-1.739;-0.003;-0.011;0.004;0.323;0.165;10.244;-84.200;-146.300;-317.200
1270.453883005;-1.832;0.542;0.153;0.220;-0.191;0.976;-0.082;-0.124;-0.009;-0.407;-0.289;13.097;-0.197;-0.718;-1.739;-0.003;-0.017;0.002;0.318;0.175;10.251;-85.100;-146.500;-317.600
