MPUData GUnits:°/s - AUnits:g
LSM9DS1Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
Fx...Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
time;MPU-Gx;MPU-Gy;MPU-Gz;MPU-Ax;MPU-Ay;MPU-Az;LSM-Gx;LSM-Gy;LSM-Gz;LSM-Ax;LSM-Ay;LSM-Az;LSM-Mx;LSM-My;LSM-Mz;Fx-Gx;Fx-Gy;Fx-Gz;Fx-Ax;Fx-Ay;Fx-Az;Fx-Mx;Fx-My;Fx-Mz
17907.166557131;-1.832;0.527;0.176;0.231;-0.195;0.977;-0.095;-0.122;-0.008;-0.456;0.852;14.138;-0.289;-0.726;-1.444;0.001;-0.013;0.003;0.318;0.141;10.265;-107.800;-128.300;-300.400
17907.18174407;-1.855;0.542;0.160;0.228;-0.191;0.976;-0.095;-0.127;-0.007;-0.435;0.797;14.188;-0.289;-0.726;-1.444;-0.002;-0.014;0.004;0.318;0.134;10.244;-108.100;-127.700;-302.500
17907.19705573;-1.809;0.550;0.160;0.225;-0.195;0.969;-0.086;-0.123;-0.007;-0.468;0.735;14.452;-0.342;-0.805;-1.516;-0.004;-0.017;0.001;0.328;0.132;10.277;-107.800;-127.700;-302.300
17907.212487832;-1.832;0.527;0.137;0.229;-0.194;0.955;-0.089;-0.127;-0.008;-0.478;0.715;14.596;-0.342;-0.805;-1.516;-0.008;-0.015;0.003;0.316;0.127;10.244;-108.500;-127.100;-301.000
17907.232942951;-1.855;0.557;0.160;0.226;-0.192;0.976;-0.087;-0.122;-0.009;-0.474;0.686;14.639;-0.341;-0.796;-1.517;-0.003;-0.012;0.004;0.323;0.129;10.220;-107.400;-127.300;-302.100
17907.249329631;-1.855;0.542;0.153;0.228;-0.192;0.975;-0.090;-0.123;-0.010;-0.453;0.686;14.442;-0.345;-0.798;-1.504;-0.001;-0.014;-0.003;0.333;0.144;10.260;-107.900;-127.500;-301.700
17907.265347261;-1.840;0.527;0.153;0.225;-0.191;0.969;-0.091;-0.124;-0.007;-0.500;0.718;14.293;-0.348;-0.799;-1.526;-0.007;-0.016;-0.000;0.321;0.156;10.234;-106.900;-127.200;-301.800
17907.286776199;-1.840;0.557;0.153;0.229;-0.191;0.972;-0.094;-0.122;-0.005;-0.485;0.615;14.487;-0.348;-0.799;-1.526;-0.007;-0.013;0.003;0.318;0.127;10.253;-106.400;-127.000;-304.200
17907.301052559;-1.824;0.550;0.160;0.227;-0.200;0.976;-0.091;-0.125;-0.005;-0.526;0.577;14.584;-0.357;-0.794;-1.519;-0.003;-0.015;0.004;0.318;0.141;10.263;-107.100;-126.900;-300.600
17907.317024116;-1.832;0.573;0.153;0.227;-0.194;0.975;-0.089;-0.123;-0.005;-0.486;0.616;14.442;-0.345;-0.797;-1.509;-0.008;-0.011;0.007;0.337;0.148;10.253;-106.800;-126.100;-303.300
