time;ExecutionTime;Ultrasound;Tof;posZ-laser;ID1;dist1;ID2;dist2;ID3;dist3;ID4;dist4;ID5;dist5;ID6;dist6
589.3103763;0.021752499999934116;26.62;28.7;-1;0;0.3064693077863306;1;0.30599322868874074;2;0.3065078375537621;3;-1;4;-1;5;-1
589.3809497;0.0233907999999019;26.64;28.6;-1;0;0.3064693077863306;1;0.30599322868874074;2;0.3065078375537621;3;-1;4;-1;5;-1
589.4955928;0.023428999999964617;26.6;28.6;-1;0;0.30737376279806494;1;0.30599322868874074;2;0.3062450715450605;3;-1;4;-1;5;-1
589.5862148;0.023885900000095717;26.62;28.9;-1;0;0.30610746725027277;1;0.30599322868874074;2;0.30658899980733784;3;-1;4;-1;5;-1
589.680802;0.023672099999998863;26.62;28.3;-1;0;0.3063332310210948;1;0.30599322868874074;2;0.30658899980733784;3;-1;4;-1;5;-1
589.792339;0.02371410000000651;26.21;28.6;-1;0;0.30610746725027277;1;0.30599322868874074;2;0.30658899980733784;3;-1;4;-1;5;-1
589.8902792;0.023757799999998497;26.21;28.6;-1;0;0.30737376279806494;1;0.30599322868874074;2;0.3065078375537621;3;-1;4;-1;5;-1
589.98438;0.023061099999949874;26.62;28.9;-1;0;0.3064693077863306;1;0.30599322868874074;2;0.30658899980733784;3;-1;4;-1;5;-1
590.0824004;0.024340899999970134;26.62;28.7;-1;0;0.3063332310210948;1;0.30599322868874074;2;0.3065078375537621;3;-1;4;-1;5;-1
590.1928453;0.023448300000040945;26.25;28.8;-1;0;0.30737376279806494;1;0.30492931506692;2;0.3065078375537621;3;-1;4;-1;5;-1
590.2911018;0.02441980000003241;26.64;28.8;-1;0;0.30628821286765545;1;0.30599322868874074;2;0.3065078375537621;3;-1;4;-1;5;-1
590.3905574;0.026705500000048232;26.62;28.7;-1;0;0.30610746725027277;1;0.30492931506692;2;0.3065078375537621;3;-1;4;-1;5;-1
590.4869798;0.026258000000098036;26.6;28.6;-1;0;0.3064693077863306;1;0.30492931506692;2;0.30658899980733784;3;-1;4;-1;5;-1
590.5991372;0.028231300000015835;26.6;28.6;-1;0;0.3064693077863306;1;0.30599322868874074;2;0.30658899980733784;3;-1;4;-1;5;-1
590.6979298;0.02786660000003849;26.62;28.7;-1;0;0.3064693077863306;1;0.30492931506692;2;0.3065078375537621;3;-1;4;-1;5;-1
590.7965872;0.028087100000107057;26.21;29.1;-1;0;0.30628821286765545;1;0.30599322868874074;2;0.30658899980733784;3;-1;4;-1;5;-1
590.8892883;0.02725220000002082;26.21;29.1;-1;0;0.3064693077863306;1;0.30599322868874074;2;0.30658899980733784;3;-1;4;-1;5;-1
591.0107909;0.028725399999984802;26.21;29.1;-1;0;0.3063332310210948;1;0.30599322868874074;2;0.30658899980733784;3;-1;4;-1;5;-1
591.1044475;0.03035869999996521;26.21;29.1;-1;0;0.30737376279806494;1;0.30599322868874074;2;0.30658899980733784;3;-1;4;-1;5;-1
591.2093775;0.03341610000006767;26.21;28.6;-1;0;0.3072045294895639;1;0.30599322868874074;2;0.3065078375537621;3;-1;4;-1;5;-1
591.3220372;0.03066209999997227;26.23;28.6;-1;0;0.3064693077863306;1;0.30492931506692;2;0.3065078375537621;3;-1;4;-1;5;-1
591.4140878;0.030445299999996678;26.23;28.6;-1;0;0.30737376279806494;1;0.30599322868874074;2;0.30658899980733784;3;-1;4;-1;5;-1
591.5131243;0.031343800000058764;26.21;28.5;-1;0;0.30628821286765545;1;0.30599322868874074;2;0.30658899980733784;3;-1;4;-1;5;-1
591.6078922;0.031022600000028433;26.21;28.5;-1;0;0.30737376279806494;1;0.30599322868874074;2;0.30658899980733784;3;-1;4;-1;5;-1
591.7177555;0.034230200000024524;26.23;28.8;-1;0;0.30610746725027277;1;0.30492931506692;2;0.30630228130589465;3;-1;4;-1;5;-1
591.8125009;0.0340748999999505;26.21;28.9;-1;0;0.3063332310210948;1;0.30599322868874074;2;0.3065078375537621;3;-1;4;-1;5;-1
591.9128693;0.03435860000001867;26.62;28.8;-1;0;0.30628821286765545;1;0.30599322868874074;2;0.3065078375537621;3;-1;4;-1;5;-1
592.0077933;0.033779699999968216;26.62;28.8;-1;0;0.3064693077863306;1;0.30599322868874074;2;0.3065078375537621;3;-1;4;-1;5;-1
