MPUData GUnits:°/s - AUnits:g
LSM9DS1Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
Fx...Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
time;MPU-Gx;MPU-Gy;MPU-Gz;MPU-Ax;MPU-Ay;MPU-Az;LSM-Gx;LSM-Gy;LSM-Gz;LSM-Ax;LSM-Ay;LSM-Az;LSM-Mx;LSM-My;LSM-Mz;Fx-Gx;Fx-Gy;Fx-Gz;Fx-Ax;Fx-Ay;Fx-Az;Fx-Mx;Fx-My;Fx-Mz
17510.026589355;-1.832;0.534;0.122;0.233;-0.193;0.970;-0.094;-0.122;-0.002;-0.507;0.556;13.643;-0.307;-0.815;-1.570;-0.003;-0.010;0.008;0.325;0.172;10.268;-103.000;-133.400;-309.100
17510.040095433;-1.794;0.550;0.153;0.229;-0.196;0.969;-0.094;-0.126;0.002;-0.463;0.513;13.786;-0.310;-0.809;-1.568;-0.002;-0.012;0.002;0.311;0.184;10.253;-102.400;-133.800;-308.700
17510.053618918;-1.847;0.534;0.145;0.230;-0.192;0.971;-0.093;-0.122;-0.002;-0.479;0.505;13.826;-0.310;-0.809;-1.568;-0.003;-0.014;0.005;0.328;0.151;10.239;-103.500;-134.300;-310.300
17510.067089682;-1.832;0.534;0.130;0.228;-0.190;0.969;-0.090;-0.123;-0.001;-0.533;0.477;13.759;-0.316;-0.802;-1.563;-0.006;-0.017;0.004;0.325;0.153;10.248;-103.300;-132.800;-308.800
17510.080563891;-1.824;0.519;0.153;0.227;-0.192;0.970;-0.092;-0.123;-0.003;-0.514;0.479;13.747;-0.316;-0.802;-1.563;-0.006;-0.014;0.003;0.325;0.160;10.248;-103.100;-133.300;-310.200
17510.094051006;-1.870;0.534;0.160;0.229;-0.195;0.983;-0.087;-0.122;-0.002;-0.470;0.485;13.610;-0.323;-0.802;-1.564;-0.007;-0.014;0.004;0.328;0.153;10.296;-102.800;-133.600;-308.300
17510.107553788;-1.840;0.504;0.183;0.230;-0.195;0.970;-0.093;-0.120;0.000;-0.489;0.519;13.630;-0.323;-0.802;-1.564;-0.012;-0.007;0.006;0.337;0.156;10.246;-103.000;-133.500;-310.300
17510.121159772;-1.817;0.550;0.168;0.227;-0.197;0.973;-0.094;-0.120;-0.002;-0.462;0.494;13.582;-0.318;-0.805;-1.561;-0.009;-0.008;0.007;0.309;0.187;10.248;-103.300;-133.300;-308.000
17510.142450751;-1.824;0.550;0.137;0.226;-0.194;0.975;-0.090;-0.118;-0.004;-0.446;0.505;13.266;-0.318;-0.805;-1.561;-0.008;-0.018;0.002;0.321;0.163;10.244;-104.000;-133.500;-309.100
17510.165024244;-1.840;0.527;0.153;0.232;-0.194;0.979;-0.086;-0.122;-0.007;-0.470;0.527;13.359;-0.317;-0.805;-1.558;-0.003;-0.009;-0.000;0.337;0.179;10.229;-103.300;-133.600;-309.500
17510.187528813;-1.809;0.550;0.145;0.231;-0.192;0.969;-0.089;-0.112;-0.005;-0.410;0.572;13.170;-0.306;-0.821;-1.557;-0.009;-0.011;0.003;0.318;0.136;10.232;-103.000;-133.600;-308.700
17510.210043844;-1.802;0.557;0.137;0.229;-0.195;0.972;-0.082;-0.120;-0.004;-0.438;0.592;13.275;-0.304;-0.829;-1.571;-0.008;-0.015;0.003;0.316;0.139;10.263;-103.600;-133.200;-307.900
17510.235931298;-1.832;0.534;0.160;0.229;-0.194;0.973;-0.090;-0.121;-0.005;-0.457;0.568;13.280;-0.304;-0.825;-1.565;-0.006;-0.014;0.007;0.323;0.170;10.251;-103.600;-132.900;-308.600
17510.267146529;-1.817;0.527;0.145;0.228;-0.192;0.983;-0.086;-0.120;-0.007;-0.470;0.607;13.296;-0.309;-0.813;-1.577;-0.013;-0.016;0.005;0.325;0.163;10.232;-104.000;-133.100;-308.900
17510.297094042;-1.840;0.527;0.168;0.226;-0.202;0.978;-0.087;-0.115;-0.011;-0.468;0.657;13.117;-0.304;-0.818;-1.570;-0.003;-0.011;-0.000;0.309;0.160;10.232;-104.100;-133.500;-308.300
17510.326812002;-1.847;0.534;0.160;0.228;-0.192;0.977;-0.087;-0.117;-0.007;-0.485;0.657;13.044;-0.257;-0.729;-1.482;-0.011;-0.013;0.002;0.309;0.160;10.246;-103.100;-133.000;-310.700
17510.34257993;-1.824;0.542;0.153;0.230;-0.195;0.979;-0.092;-0.124;-0.003;-0.471;0.638;13.027;-0.257;-0.729;-1.482;-0.010;-0.013;0.005;0.325;0.148;10.251;-103.300;-133.700;-309.600
17510.357228821;-1.817;0.580;0.153;0.223;-0.191;0.972;-0.092;-0.120;-0.007;-0.480;0.571;13.461;-0.308;-0.813;-1.570;-0.010;-0.013;0.001;0.325;0.148;10.258;-104.200;-132.900;-310.600
17510.372011322;-1.855;0.557;0.145;0.229;-0.192;0.973;-0.090;-0.123;-0.000;-0.468;0.624;13.342;-0.307;-0.811;-1.562;-0.003;-0.013;0.004;0.330;0.136;10.236;-104.000;-133.900;-309.200
17510.385780914;-1.809;0.542;0.145;0.230;-0.195;0.973;-0.090;-0.118;-0.004;-0.446;0.605;13.325;-0.307;-0.811;-1.562;-0.005;-0.012;-0.003;0.333;0.136;10.236;-104.200;-133.500;-307.600
17510.399695726;-1.824;0.534;0.176;0.231;-0.193;0.973;-0.087;-0.119;-0.002;-0.527;0.569;13.414;-0.313;-0.812;-1.570;-0.005;-0.010;0.003;0.330;0.141;10.265;-103.600;-133.500;-307.500
17510.413343764;-1.832;0.550;0.168;0.228;-0.192;0.976;-0.095;-0.126;-0.004;-0.441;0.534;13.516;-0.313;-0.812;-1.570;-0.006;-0.013;0.004;0.321;0.179;10.263;-104.300;-133.700;-308.600
